ip_size,time,found
2340000,6.83e-07,0
2350000,1.184e-06,0
2360000,1.042e-06,0
2370000,6.22e-07,0
2380000,1.739e-06,0
2390000,1.369e-06,0
2400000,3.216e-06,0
2410000,2.107e-06,0
2420000,1.049e-06,0
2430000,2.156e-06,1
2440000,1.746e-06,0
2450000,1.267e-06,1
2460000,5.09e-07,0
2470000,1.775e-06,1
2480000,2.144e-06,0
2490000,6.28e-07,0
2500000,9.96e-07,1
2510000,1.236e-06,0
2520000,1.106e-06,0
2530000,1.175e-06,0
2540000,9.46e-07,0
2550000,6.17e-07,0
2560000,7.66e-07,0
2570000,1.354e-06,0
2580000,1.424e-06,0
2590000,1.971e-06,0
2600000,1.705e-06,0
2610000,2.364e-06,1
2620000,3.49e-07,0
2630000,4.78e-07,0
2640000,2.124e-06,0
2650000,1.164e-06,0
2660000,6.71e-07,0
2670000,1.456e-06,0
2680000,1.117e-06,0
2690000,5.17e-07,0
2700000,7.48e-07,0
2710000,3.73e-07,0
2720000,1.471e-06,1
2730000,1.28e-06,0
2740000,1.409e-06,1
2750000,9.04e-07,0
2760000,8.93e-07,0
2770000,6.83e-07,1
2780000,9.13e-07,1
2790000,2.074e-06,0
2800000,4.1e-07,1
2810000,1.049e-06,1
2820000,2.047e-06,1
2830000,9.88e-07,1
2840000,1.138e-06,0
2850000,7.78e-07,0
2860000,1.616e-06,0
2870000,5.58e-07,0
2880000,1.645e-06,0
2890000,1.954e-06,0
2900000,4.69e-07,1
2910000,5.98e-07,0
2920000,6.48e-07,1
2930000,1.006e-06,0
2940000,1.912e-06,1
2950000,2.35e-06,1
2960000,2.34e-06,1
2970000,2.31e-06,0
2980000,2.002e-06,0
2990000,2.96e-06,0
3000000,1.874e-06,0
3010000,2.272e-06,0
3020000,2.212e-06,1
3030000,2.603e-06,0
3040000,2.107e-06,0
3050000,2e-06,0
3060000,8.11e-07,0
3070000,1.759e-06,0
3080000,2.224e-06,1
3090000,1.836e-06,0
3100000,1.471e-06,0
3110000,1.519e-06,0
3120000,1.587e-06,0
3130000,7.12e-07,0
3140000,2.457e-06,0
3150000,4.61e-07,0
3160000,4.774e-06,1
3170000,2.29e-06,0
3180000,1.9e-06,0
3190000,1.369e-06,0
3200000,1.738e-06,0
3210000,2.556e-06,0
3220000,2.096e-06,0
3230000,2.186e-06,1
3240000,7.49e-07,0
3250000,6.78e-07,1
3260000,1.934e-06,1
3270000,2.003e-06,1
3280000,6.37e-07,0
3290000,2.67e-06,0
3300000,1.624e-06,0
3310000,1.663e-06,1
3320000,2.321e-06,0
3330000,2.611e-06,1
3340000,2.472e-06,1
3350000,1.814e-06,1
3360000,1.575e-06,1
3370000,7.86e-07,0
3380000,1.546e-06,0
3390000,1.805e-06,1
